source,original,synonyms
GDSC1,Erlotinib,183321746
GDSC1,Erlotinib,N3ETHYNYLPHENYL67BIS2METHOXYETHOXYQUINAZOLIN4AMINE
GDSC1,Erlotinib,TARCEVA
GDSC1,Erlotinib,ERLOTINIBFREEBASE
GDSC1,Erlotinib,43ETHYNYLPHENYLAMINO67BIS2METHOXYETHOXYQUINAZOLINE
GDSC1,Erlotinib,4QUINAZOLINAMINEN3ETHYNYLPHENYL67BIS2METHOXYETHOXY
GDSC1,Erlotinib,OSI774
GDSC1,Erlotinib,ERLOTINIBUM
GDSC1,Erlotinib,UNIIJ4T82NDH7E
GDSC1,Erlotinib,N3ETHYNYLPHENYL67BIS2METHOXYETHOXY4QUINAZOLINAMINE
GDSC1,Erlotinib,J4T82NDH7E
GDSC1,Erlotinib,DTXSID8046454
GDSC1,Erlotinib,HSDB8082
GDSC1,Erlotinib,OSI744
GDSC1,Erlotinib,CHEBI114785
GDSC1,Erlotinib,183321746FREEBASE
GDSC1,Erlotinib,NSC718781
GDSC1,Erlotinib,CHEMBL553
GDSC1,Erlotinib,RG1415
GDSC1,Erlotinib,67BIS2METHOXYETHOXYQUINAZOLINE4YL3ETHYNYLPHENYLAMINE
GDSC1,Erlotinib,CP358774
GDSC1,Erlotinib,DTXCID6026454
GDSC1,Erlotinib,CP35877401
GDSC1,Erlotinib,R1415
GDSC1,Erlotinib,MFCD02089651
GDSC1,Erlotinib,NCGC0016457401
GDSC1,Erlotinib,67BIS2METHOXYETHOXYQUINAZOLIN4YL3ETHYNYLPHENYLAMINE
GDSC1,Erlotinib,ERLOTINIBTARCEVA
GDSC1,Erlotinib,CAS183321746
GDSC1,Erlotinib,ERLOTINIBINNBAN
GDSC1,Erlotinib,SR05000001460
GDSC1,Erlotinib,EROTINIB
GDSC1,Erlotinib,NCHEMBIO866COMP3
GDSC1,Erlotinib,KINOME3317
GDSC1,Erlotinib,N3ETHYNYLPHENYL67BIS2METHOXYETHOXY4QUINAZOLINAMINEMONOHYDROCHLORIDE
GDSC1,Erlotinib,ERLOTINIBMI
GDSC1,Erlotinib,ERLOTINIBVANDF
GDSC1,Erlotinib,ERLOTINIBWHODD
GDSC1,Erlotinib,SCHEMBL8413
GDSC1,Erlotinib,ERLOTINIBEMAEPAR
GDSC1,Erlotinib,BDBM5446
GDSC1,Erlotinib,CID176870
GDSC1,Erlotinib,GTPL4920
GDSC1,Erlotinib,L01XE03
GDSC1,Erlotinib,AAKJLRGGTJKAMGUHFFFAOYSAN
GDSC1,Erlotinib,HMS2089F05
GDSC1,Erlotinib,HMS3244M19
GDSC1,Erlotinib,HMS3244M20
GDSC1,Erlotinib,HMS3244N19
GDSC1,Erlotinib,HMS3295A19
GDSC1,Erlotinib,HMS3713C22
GDSC1,Erlotinib,HMS3745M05
GDSC1,Erlotinib,TOX21112202
GDSC1,Erlotinib,AC399
