Source_nodes	Target_nodes	Score	Source
A2M	APOA1	-1	Others
A2M	BMP1	-1	Others
A2M	PROC	-1	Kegg
A4GNT	MUC1	1	Others
A4GNT	MUC12	1	Others
A4GNT	MUC13	1	Others
A4GNT	MUC15	1	Others
A4GNT	MUC16	1	Others
A4GNT	MUC17	1	Others
A4GNT	MUC19	1	Others
A4GNT	MUC2	1	Others
A4GNT	MUC20	1	Others
A4GNT	MUC21	1	Others
A4GNT	MUC3A	1	Others
A4GNT	MUC3B	1	Others
A4GNT	MUC4	1	Others
A4GNT	MUC5AC	1	Others
A4GNT	MUC5B	1	Others
A4GNT	MUC6	1	Others
A4GNT	MUC7	1	Others
A4GNT	MUCL1	1	Others
AAAS	AGO2	1	Others
AAAS	ALYREF	1	Others
AAAS	AURKB	1	Others
AAAS	BIRC5	1	Others
AAAS	CASC3	1	Others
AAAS	CDC40	1	Others
AAAS	CDCA8	1	Others
AAAS	CHTOP	1	Others
AAAS	CPSF1	1	Others
AAAS	CPSF2	1	Others
AAAS	CPSF3	1	Others
AAAS	CPSF4	1	Others
AAAS	DDX20	1	Others
AAAS	DHX38	1	Others
AAAS	EIF4A3	1	Others
AAAS	EIF4E	1	Others
AAAS	FIP1L1	1	Others
AAAS	GCK	1	Others
AAAS	GCKR	1	Others
AAAS	GEMIN2	1	Others
AAAS	GEMIN4	1	Others
AAAS	GEMIN5	1	Others
AAAS	GEMIN6	1	Others
AAAS	GEMIN7	1	Others
AAAS	GEMIN8	1	Others
AAAS	HDAC4	1	Others
AAAS	HIKESHI	1	Others
AAAS	HNRNPC	1	Others
AAAS	HSPA1B	1	Others
AAAS	INCENP	1	Others
AAAS	IPO8	1	Others
AAAS	KPNA1	1	Others
AAAS	KPNA2	1	Others
AAAS	KPNA3	1	Others
AAAS	KPNA4	1	Others
AAAS	KPNA5	1	Others
AAAS	KPNA7	1	Others
AAAS	KPNB1	1	Others
AAAS	MAGOH	1	Others
AAAS	MAGOHB	1	Others
AAAS	MDM2	1	Others
AAAS	NCBP1	1	Others
AAAS	NCBP2	1	Others
AAAS	NXF1	1	Others
AAAS	NXF2	1	Others
AAAS	NXT1	1	Others
AAAS	PHAX	1	Others
AAAS	PML	1	Others
AAAS	POLDIP3	1	Others
AAAS	RAN	1	Others
AAAS	RANBP2	1	Others
AAAS	RBM8A	1	Others
AAAS	RNPS1	1	Others
AAAS	SARNP	1	Others
AAAS	SLBP	1	Others
AAAS	SLU7	1	Others
AAAS	SMN1	1	Others
AAAS	SNRPB	1	Others
AAAS	SNRPD1	1	Others
AAAS	SNRPD2	1	Others
AAAS	SNRPD3	1	Others
AAAS	SNRPE	1	Others
AAAS	SNRPF	1	Others
AAAS	SNRPG	1	Others
AAAS	SNUPN	1	Others
AAAS	SP100	1	Others
AAAS	SRRM1	1	Others
AAAS	SRSF1	1	Others
AAAS	SRSF11	1	Others
AAAS	SRSF2	1	Others
AAAS	SRSF3	1	Others
AAAS	SRSF4	1	Others
AAAS	SRSF5	1	Others
AAAS	SRSF6	1	Others
AAAS	SRSF7	1	Others
AAAS	SRSF9	1	Others
AAAS	SUMO1	1	Others
AAAS	SUMO2	1	Others
AAAS	SUMO3	1	Others
AAAS	SYMPK	1	Others
AAAS	THOC1	1	Others
AAAS	THOC2	1	Others
AAAS	THOC3	1	Others
AAAS	THOC5	1	Others
AAAS	THOC6	1	Others
AAAS	THOC7	1	Others
AAAS	TOP2A	1	Others
AAAS	U2AF1	1	Others
AAAS	U2AF1L4	1	Others
AAAS	U2AF2	1	Others
AAAS	UBE2I	1	Others
AAAS	UPF3B	1	Others
AAAS	WDR33	1	Others
AAAS	XPO1	1	Others
AAAS	XPOT	1	Others
AAAS	ZC3H11A	1	Others
AASDHPPT	FASN	1	Others
ABCB7	CIAPIN1	1	Others
ABCB7	NDOR1	1	Others
ABCB7	NUBP1	1	Others
ABCB7	NUBP2	1	Others
ABCE1	FLNA	-1	Others
ABCE1	RNASEL	-1	Others
ABCF2	CASP9	-1	Kegg
ABI1	ACTR2	1	Kegg; Others
